id,name,category,review_count,address,rating,rating_count,phone_number,url,appointment,delivery,package,wifi,pet,parking,nursery,smokingroom,fordisabled,operation_time,latitude,longitude
1,목구멍 율전점,"육류,고기",823,경기 수원시 장안구 화산로233번길 46 1층,4.2,15.0,0507-1464-9295,https://place.map.kakao.com/1762781450,Y,N,N,Y,Y,Y,Y,Y,N,"{""월요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""화요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""수요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""목요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""금요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""토요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""일요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}}",37.2977142440725,126.970140339367
2,고기굽는교실 율전3반,"육류,고기",399,경기 수원시 장안구 율전로98번길 9 성원빌딩 1층 102호,4.6,47.0,031-297-8592,https://place.map.kakao.com/29972796,Y,Y,N,Y,Y,Y,Y,Y,Y,"{""월요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": ""11:30"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.298115459703,126.969371990792
3,봉수육,"족발,보쌈",214,경기 수원시 장안구 율전로108번길 11 1층,4.1,71.0,,https://place.map.kakao.com/22282335,Y,Y,N,Y,Y,Y,Y,Y,N,"{""월요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""화요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""수요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""목요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""금요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""토요일"": {""시작시간"": ""16:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": ""22:00""}, ""일요일"": {""시작시간"": null, ""종료시간"": null, ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.2989636614823,126.969941000345
4,자명문,카페,135,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,4.6,35.0,,https://place.map.kakao.com/1744478913,N,Y,N,Y,Y,Y,Y,Y,N,"{""월요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.2991441082486,126.969819568432
5,서울24시감자탕해장국,감자탕,73,경기 수원시 장안구 서부로 2163 굿모닝빌딩 1층,3.4,39.0,031-268-6557,https://place.map.kakao.com/21361365,Y,Y,N,Y,Y,Y,Y,Y,Y,"{""월요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": ""00:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.3014807784416,126.972455027725
6,유케집 성대점,"호프,요리주점",85,경기 수원시 장안구 화산로213번길 15 태화빌딩 1층,4.0,4.0,0507-1359-2593,https://place.map.kakao.com/1498762960,Y,N,N,Y,Y,Y,Y,Y,Y,"{""월요일"": {""시작시간"": ""17:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""17:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""17:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""17:00"", ""종료시간"": ""24:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""17:00"", ""종료시간"": ""02:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""17:00"", ""종료시간"": ""02:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": null, ""종료시간"": null, ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.2988810845627,126.972744825347
7,청년밥상,한식,35,경기 수원시 장안구 서부로2136번길 10 1층,3.4,44.0,031-298-1822,https://place.map.kakao.com/1300977401,N,Y,N,Y,Y,Y,Y,Y,N,"{""월요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""화요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""수요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""목요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""금요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""토요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}, ""일요일"": {""시작시간"": ""11:00"", ""종료시간"": ""20:30"", ""휴게시작시간"": ""14:00"", ""휴게종료시간"": ""17:00"", ""라스트오더"": ""20:00""}}",37.2986008585424,126.9727293618
8,정성식탁,양식,90,경기 수원시 장안구 서부로2136번길 9 1층,,,0507-1338-1190,https://place.map.kakao.com/520447689,Y,Y,N,Y,Y,Y,Y,Y,Y,"{""월요일"": {""시작시간"": null, ""종료시간"": null, ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}, ""수요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}, ""목요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}, ""금요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}, ""토요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}, ""일요일"": {""시작시간"": ""11:30"", ""종료시간"": ""20:40"", ""휴게시작시간"": ""15:30"", ""휴게종료시간"": ""17:00"", ""라스트오더"": null}}",37.2988041515366,126.972812300148
10,플렁드,"제과,베이커리",109,경기 수원시 장안구 율전로 91 1층,4.3,39.0,031-309-1488,https://place.map.kakao.com/346317197,Y,Y,N,Y,Y,Y,Y,Y,N,"{""월요일"": {""시작시간"": null, ""종료시간"": null, ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": null, ""종료시간"": null, ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": ""11:00"", ""종료시간"": ""23:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.2975843324775,126.968472287672
11,보리네 주먹고기,"육류,고기",143,경기 수원시 장안구 율전로98번길 6-9 1층,4.4,52.0,031-295-5664,https://place.map.kakao.com/18515289,Y,Y,N,Y,Y,Y,Y,Y,Y,"{""월요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""화요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""수요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""목요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""금요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""토요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}, ""일요일"": {""시작시간"": ""17:00"", ""종료시간"": ""22:00"", ""휴게시작시간"": null, ""휴게종료시간"": null, ""라스트오더"": null}}",37.2976096274488,126.969063613639
