rank,name,lat,lon,category_name,review_count,review_rating,thumbnail
1,봉수육,37.29895782470703,126.96993255615234,"족발,보쌈",69.0,4.1,http://t1.daumcdn.net/place/CE93EDC288154EA58AC66DFD1515C2A8
2,아늑,37.29758834838867,126.97200775146484,이탈리안,58.0,4.1,http://t1.kakaocdn.net/mystore/C8ABF5FD080C4FB0A88309F414FD0B40
3,모수밀면,37.29889678955078,126.96883392333984,국수,47.0,4.53,http://t1.kakaocdn.net/fiy_reboot/place/4CE765F2C56D4BEB8AEF52C2F78F5DD7
4,나츠비,37.297122955322266,126.9715805053711,일식,49.0,4.79,http://t1.kakaocdn.net/mystore/8A9AD100FAFD4EBB84B8CAB033679E78
5,보리네 주먹고기,37.29761505126953,126.96904754638672,"육류,고기",48.0,4.39,http://t1.kakaocdn.net/mystore/D520AFCD64744995BEDD9CC493C5B545
6,오르카커피룸,37.29973602294922,126.97071075439453,커피전문점,26.0,4.73,http://t1.kakaocdn.net/mystore/CEFC2FAAF85240A3B3C1A95A264EFA80
7,일성,37.29753494262695,126.96867370605469,일식,12.0,4.08,http://t1.kakaocdn.net/mystore/BDE547B5516541EFA19EDB6DE05E8EB3
8,벨라튀니지,37.297218322753906,126.97135925292969,퓨전요리,46.0,4.54,http://t1.daumcdn.net/place/B2D519478AF943F1A893A25F64577173
9,경기수산직판장 성균관대점,37.298095703125,126.96868133544922,회,33.0,4.63,http://t1.daumcdn.net/place/CD42181F66724559A6AA0F5CEAA68F0B
10,본찌돈까스 성대점,37.297115325927734,126.9716567993164,"돈까스,우동",58.0,4.53,http://t1.daumcdn.net/place/721C3252A49B42E9A286C877E0A2A478
11,윤실장초밥 성대점,37.296714782714844,126.96951293945312,"초밥,롤",23.0,4.52,http://t1.kakaocdn.net/fiy_reboot/place/4CA259DEBA7244ADB68A8E8237E82DFA
